subject,trial,stim,picture,response,reactiontime,correct,spaced,stimvalue,feedback,reward,repetition,trialonset
300,32,4,127,2,0.813616214,1,1,0,-1,-0.27,8,74.35555408
300,33,2,136,2,0.85980081,1,1,0,0,-0.03,8,81.94895808
300,34,1,118,1,0.803220488,1,1,1,0,-0.09,9,88.1218436
300,35,2,136,2,1.66139813,1,1,0,-1,-0.21,9,92.96003058
300,36,4,127,2,1.676722288,1,1,0,0,0,9,99.88480426
300,37,5,119,1,0.724529125,1,1,2,0,-0.09,9,107.2606191
300,38,5,119,1,0.576954135,1,1,2,2,0.44,10,112.2497352
300,39,4,127,2,0.911548861,1,1,0,0,-0.01,10,119.4746447
300,40,2,136,-1,NaN,NaN,1,0,0,-0.5,10,125.6482455
300,41,1,118,1,0.399358882,1,1,1,1,0.24,10,2.039209446
300,42,3,121,1,0.631308028,1,1,1,1,0.25,2,8.065416107
300,43,3,121,1,0.624391762,1,1,1,1,0.27,3,15.89026207
300,44,3,121,1,0.582407087,1,1,1,1,0.25,4,22.06372442
300,45,7,101,1,1.314804895,1,1,2,2,0.49,1,27.20309106
300,46,7,101,1,0.583114058,1,1,2,2,0.49,2,33.52701241
300,47,7,101,1,0.522646358,1,1,2,2,0.5,3,39.7007211
300,48,6,128,1,1.240229918,0,1,0,0,-0.27,1,45.72424682
300,49,6,128,2,0.596346864,1,1,0,0,0.03,2,51.01303282
300,50,6,128,2,0.7999404,1,1,0,0,-0.02,3,57.18676517
300,51,8,138,2,1.179059344,1,1,0,0,0.04,1,64.86152803
300,52,8,138,2,0.647038287,1,1,0,0,0,2,71.78633702
300,53,8,138,2,0.649961639,1,1,0,0,-0.01,3,77.67647002
300,54,6,128,2,1.011585685,1,1,0,-1,-0.23,4,82.96591551
300,55,3,121,1,1.021192757,1,1,1,0,-0.07,5,88.70610667
300,56,7,101,1,0.634349812,1,1,2,0,-0.05,4,94.14418204
300,57,6,128,2,0.784828673,1,1,0,0,0.01,5,100.0356374
300,58,8,138,2,0.868425308,1,1,0,-1,-0.21,4,106.8100551
300,59,8,138,2,0.619010287,1,1,0,0,-0.03,5,112.5490075
300,60,7,101,1,0.592088203,1,1,2,2,0.41,5,120.0732481
300,61,3,121,1,0.897743288,1,1,1,0,-0.03,6,2.027275723
300,62,6,128,2,0.870911279,1,1,0,0,0,6,8.803226102
300,63,7,101,1,0.668511559,1,1,2,0,-0.09,6,15.27822211
300,64,8,138,2,1.013385239,1,1,0,0,0.05,6,20.86757236
300,65,3,121,1,1.068371122,1,1,1,1,0.25,7,28.24273354
300,66,7,101,1,0.632190513,1,1,2,2,0.48,7,35.16763228
300,67,8,138,2,0.772548335,1,1,0,0,-0.01,7,41.64187688
300,68,6,128,2,0.81606164,1,1,0,-1,-0.25,7,48.11487055
300,69,3,121,1,1.182860129,1,1,1,0,-0.08,8,55.79009616
300,70,7,101,1,0.561437115,1,1,2,2,0.42,8,61.22957084
300,71,6,128,2,1.023348528,1,1,0,0,0.01,8,67.40261401
300,72,3,121,2,1.067121091,0,1,1,1,-0.07,9,73.87717927
300,73,6,128,1,1.133271184,0,1,0,-1,0,9,80.20101549
300,74,8,138,1,1.203841308,0,1,0,-1,0.04,8,87.57643321
300,75,7,101,1,0.520908247,1,1,2,0,-0.06,9,94.50064564
300,76,3,121,1,1.187172713,1,1,1,1,0.23,10,102.1763409
300,77,8,138,1,0.981311762,0,1,0,0,-0.29,9,109.701275
300,78,6,128,1,0.889896107,0,1,0,0,-0.23,10,116.4740156
300,79,7,101,1,0.600277929,1,1,2,2,0.46,10,124.0002881
300,80,8,138,2,0.689193376,1,1,0,-1,-0.2,10,128.9896209
301,1,5,125,1,0.885942871,1,1,2,2,0.46,1,2.038430181
301,2,5,125,1,0.817833157,1,1,2,2,0.43,2,9.567214597
301,3,2,103,1,0.892084624,0,1,0,0,-0.27,1,17.39175153
301,4,2,103,2,0.472069365,1,1,0,0,0.03,2,22.38115624
301,5,2,103,2,0.99996676,1,1,0,-1,-0.2,3,28.1206288
301,6,5,125,1,0.762010669,1,1,2,2,0.41,3,33.71035656
301,7,5,125,1,0.786966871,1,1,2,0,-0.03,4,39.30033885
301,8,4,101,1,0.899796776,0,1,0,0,-0.23,1,44.88889983
301,9,4,101,2,0.34656704,1,1,0,0,0.01,2,50.77931108
301,10,1,121,2,1.292250647,0,1,1,1,-0.06,1,57.55365256
301,11,1,121,2,0.75999959,0,1,1,1,0,2,63.14390163
301,12,1,121,1,0.559933457,1,1,1,0,-0.02,3,68.43234883
301,13,4,101,2,1.244598794,1,1,0,-1,-0.24,3,73.72215852
301,14,4,101,1,0.664105838,0,1,0,0,-0.22,4,79.7452836
301,15,1,121,2,1.690980882,0,1,1,1,-0.01,4,86.51934615
301,16,2,103,2,1.432374512,1,1,0,0,-0.02,4,91.50731225
301,17,1,121,1,1.268778888,1,1,1,1,0.25,5,98.5827514
301,18,4,101,1,1.369304262,0,1,0,-1,0.03,5,104.1727207
301,19,5,125,1,0.80709999,1,1,2,2,0.44,5,111.5477079
301,20,2,103,1,1.616967718,0,1,0,-1,-0.04,5,117.1366851
301,21,2,103,1,0.856674413,0,1,0,0,-0.22,6,2.036288494
301,22,3,133,2,1.224222764,0,1,1,1,-0.01,1,9.115151288
301,23,4,101,1,1.126867975,0,1,0,0,-0.26,6,16.18879618
301,24,5,125,1,0.939839141,1,1,2,0,-0.04,6,22.08003533
301,25,1,121,1,1.019984776,1,1,1,0,-0.01,6,29.60384754
301,26,4,101,2,1.000391119,1,1,0,0,0,7,36.37874813
301,27,5,125,2,1.295185065,0,1,2,2,-0.03,7,42.55321263
301,28,1,121,2,1.339293819,0,1,1,1,-0.03,7,47.84179594
301,29,2,103,2,1.449319859,1,1,0,0,0.01,7,54.16460854
301,30,1,121,2,1.454404258,0,1,1,1,-0.09,8,59.15439068
301,31,5,125,2,1.396656091,0,1,2,2,-0.02,8,66.52873081
301,32,4,101,1,1.288578494,0,1,0,-1,0.02,8,74.35445386
301,33,2,103,1,1.580479119,0,1,0,0,-0.25,8,81.94699782
301,34,1,121,1,1.260863535,1,1,1,0,-0.04,9,88.12062062
301,35,2,103,1,0.982912702,0,1,0,-1,0.05,9,92.96000154
301,36,4,101,1,1.45545225,0,1,0,0,-0.21,9,99.88564365
